,Player,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,bowling_utility,player_type
130,VVS Laxman,2.5374999999999996,1.202952029520295,0.0,0.21666666666666665,0.0,0.0,0.0,3.9571186961869613,-301.0,Batsman
131,GH Vihari,2.250000000000001,1.0,0.0,0.03174603174603171,0.047619047619047616,0.01935483870967742,3.501891891891892,3.2817460317460325,-294.64670133266907,Bowler
132,A Ashish Reddy,1.8152173913043481,3.1428571428571432,0.0,0.0,0.7826086956521741,0.34838709677419355,2.9633333333333325,4.958074534161492,-292.85850631136043,Bowler
133,B Chipli,2.250000000000001,1.46875,0.0,0.11111111111111109,0.0,0.0,0.6299999999999999,3.829861111111112,-297.055,Batsman
134,MJ Lumb,5.937500000000002,3.0202020202020208,0.0,0.9166666666666666,0.0,0.0,0.0,9.874368686868689,-297.0,Batsman
135,SP Narine,1.0,3.0207253886010363,0.0,0.06666666666666665,1.1728395061728396,1.838709677419355,3.486901840490797,4.087392055267703,-287.25232346387554,Bowler
136,R Sathish,1.46875,1.7203389830508478,0.0,0.0,0.125,0.05806451612903226,2.79125,3.1890889830508478,-291.53852822580643,Bowler
137,M Kaif,1.6647727272727275,1.0193798449612401,0.0,0.0,0.0,0.0,0.0,2.684152572233968,-295.0,Batsman
138,SM Katich,5.465909090909092,2.3089005235602102,0.0,0.45454545454545475,0.0,0.0,0.0,8.229355069014757,-294.0,Batsman
139,SP Goswami,2.8984375,1.0,0.0,0.20833333333333334,0.0,0.0,0.0,4.106770833333333,-293.0,Batsman
140,MD Mishra,2.477941176470588,1.563380281690143,0.0,0.13725490196078427,0.0,0.0,0.0,4.1785763601215145,-292.0,Batsman
141,R Ashwin,1.0,1.0,0.0,0.0,0.925925925925926,1.935483870967742,3.4669139465875363,2.0,-282.5075143847782,Bowler
142,SW Billings,5.7250000000000005,2.5317919075144504,0.0,0.4333333333333333,0.0,0.0,0.0,8.690125240847784,-291.0,Batsman
143,MR Marsh,3.276785714285715,1.5970149253731343,0.0,0.0,1.1111111111111112,0.38709677419354843,3.2116513761467886,4.87380063965885,-282.93521110782285,Bowler
144,K Goel,2.359375,1.0,0.0,0.020833333333333332,0.0,0.0,3.0622388059701486,3.3802083333333335,-284.40664179104476,Bowler
145,AA Jhunjhunwala,2.675,1.0,0.0,0.08888888888888886,0.06666666666666668,0.01935483870967742,2.9686363636363637,3.763888888888889,-283.41801319648096,Bowler
